index,x,y,heading_deg,type
0,-0.0372,0.0002,-2.96,correct
1,0.9451,-0.0525,-3.42,nav
2,1.9532,-0.1225,-4.45,nav
3,2.842,-0.2084,-8.2,correct
4,3.7098,-0.3334,-8.2,nav
5,4.6763,-0.4595,-6.64,nav
6,5.6455,-0.6015,-12.32,correct
7,6.4534,-0.5863,5.04,correct
8,7.4781,-0.6772,-23.78,correct
9,8.718,-1.2735,-36.71,correct
10,9.5265,-2.2515,-81.86,correct
11,9.3371,-3.1128,-113.7,correct
12,8.4772,-4.1666,-139.69,correct
13,7.5107,-4.7905,-165.65,correct
14,6.3461,-5.0413,-141.97,correct
15,5.6161,-5.4217,-160.83,nav
16,4.6791,-5.7488,-160.25,nav
17,3.8181,-6.0487,-160.48,correct
18,2.9528,-6.3629,-161.87,nav
19,1.9977,-6.6601,-163.88,nav
20,1.0684,-6.9323,-162.77,correct
21,0.2227,-7.1803,-163.51,nav
22,-0.7516,-7.4438,-165.92,nav
23,-1.6312,-7.6421,-168.27,correct
24,-2.56,-7.7259,-178.07,correct
25,-3.4853,-7.7433,-179.98,nav
26,-3.7115,-7.7414,178.05,correct
27,-4.2622,-7.8981,-151.18,correct
28,-5.3111,-8.0543,159.95,correct
29,-6.2181,-6.9769,91.23,correct
30,-6.0854,-6.2724,62.85,correct
31,-5.5364,-5.8202,18.3,correct
32,-4.9782,-5.8194,-15.87,correct
33,-3.8848,-6.087,5.8,correct
34,-2.6433,-5.9323,5.69,correct
35,-0.7518,-5.8287,1.51,correct
